name	x	y	z	material
Fp1	-0.030902595782959074	0.1145851808674079	0.027866574329093563	active
Fpz	-0.0013373370098660072	0.11910179606232231	0.03288990364077295	active
Fp2	0.028409487887091203	0.11534630809630636	0.02772125772253031	active
F7	-0.07187663250970616	0.07310353217275958	0.02579045587891774	active
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	active
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	active
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	active
F8	0.07143526180097565	0.07450512184827826	0.025101027393181548	active
FT9	-0.0857965490757633	0.04308171037172904	-0.01157567583844054	active
FC5	-0.07890598380592659	0.051367389393278916	0.06296234793922344	active
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	active
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	active
FC6	0.07784661183611408	0.05209880614588322	0.062867106289257	active
FT10	0.0823906466577189	0.04227490959920134	-0.011673128497876314	active
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	active
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	active
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	active
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	active
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	active
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	active
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	active
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	active
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	active
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	active
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	active
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	active
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	active
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	active
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	active
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	active
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	active
